TANGGAL,RR,RH_AVG,TAVG,SS,FF_AVG
2022-01-01,0.0,78.0,27.0,4.32,3.0
2022-01-02,0.0,85.0,26.3,6.32,3.0
2022-01-03,0.0,72.0,27.3,7.84,4.0
2022-01-04,0.0,79.0,26.9,7.52,3.0
2022-01-05,0.0,90.0,25.6,6.32,3.0
2022-01-06,0.0,90.0,25.6,3.92,3.0
2022-01-07,6.5,84.0,25.9,6.0,3.0
2022-01-08,13.9,86.0,25.6,5.04,3.0
2022-01-09,0.0,84.0,26.3,4.8,3.0
2022-01-10,0.0,86.0,26.0,4.8,3.0
2022-01-11,1.0,86.0,25.9,4.24,3.0
2022-01-12,0.8,90.0,24.9,1.84,3.0
2022-01-13,19.0,87.0,25.8,2.4,4.0
2022-01-14,5.4,89.0,25.6,1.52,3.0
2022-01-15,4.1,91.0,25.4,0.64,3.0
2022-01-16,3.8,88.0,25.6,1.84,3.0
2022-01-17,0.0,86.0,26.3,4.08,3.0
2022-01-18,4.2,92.0,25.1,0.0,4.0
2022-01-19,21.1,89.0,25.1,3.68,3.0
2022-01-20,11.0,88.0,24.9,0.0,4.0
2022-01-21,1.1,80.0,25.9,4.08,3.0
2022-01-22,0.5,84.0,26.3,4.4,3.0
2022-01-23,0.2,83.0,26.3,4.24,3.0
2022-01-24,0.0,86.0,26.1,4.8,3.0
2022-01-25,4.5,83.0,26.4,4.72,3.0
2022-01-26,3.8,87.0,25.9,1.28,4.0
2022-01-27,5.2,85.0,26.4,3.6,3.0
2022-01-28,0.0,85.0,25.6,1.2,3.0
2022-01-29,0.5,81.0,26.3,6.72,2.0
2022-01-30,0.0,81.0,26.4,5.52,3.0
2022-01-31,0.5,79.0,26.4,6.24,3.0
2022-02-01,1.0,83.0,26.3,7.28,4.0
2022-02-02,0.6666666666666667,86.0,26.4,1.52,3.0
2022-02-03,0.33333333333333337,82.0,26.3,5.84,3.0
2022-02-04,0.0,86.0,26.3,3.04,4.0
2022-02-05,15.8,87.0,25.5,0.0,3.0
2022-02-06,7.2,86.0,25.9,0.72,4.0
2022-02-07,13.6,90.0,25.3,0.88,3.0
2022-02-08,0.0,96.0,24.7,0.0,2.0
2022-02-09,4.8,85.0,25.3,2.72,2.0
2022-02-10,0.6,79.0,25.8,0.32,4.0
2022-02-11,0.0,79.0,25.9,6.32,5.0
2022-02-12,0.0,83.0,26.6,0.0,4.0
2022-02-13,0.2,87.0,25.7,0.32,2.0
2022-02-14,0.2,84.0,25.8,0.32,2.0
2022-02-15,1.0,80.0,26.8,2.72,3.0
2022-02-16,0.0,83.0,25.6,4.32,5.0
2022-02-17,13.6,88.0,25.8,6.0,4.0
2022-02-18,3.7,90.0,24.9,0.24,4.0
